code,locale,name,descr
960,es,name-27828580,descr-27828580
960,cs,name-27828581,descr-27828581
961,pt,name-24904120,descr-24904120
961,it,name-24904121,descr-24904121
962,fi,name-7722762,descr-7722762
962,de,name-7722763,descr-7722763
963,nl,name-27268430,descr-27268430
963,ar,name-27268431,descr-27268431
964,ja,name-19104742,descr-19104742
964,tr,name-19104743,descr-19104743
965,ro,name-136480,descr-136480
965,sv,name-136481,descr-136481
966,ja,name-1919207,descr-1919207
966,pl,name-1919208,descr-1919208
967,fi,name-12407325,descr-12407325
967,ru,name-12407326,descr-12407326
968,ro,name-2545907,descr-2545907
968,hu,name-2545908,descr-2545908
969,ru,name-29887429,descr-29887429
969,tr,name-29887430,descr-29887430
